ID,Name,Resource,Gender,MainSkill,Dialogue
1,사라,Character001,1,1,"""너의 마지막 후회는\n날 건드렸다는 사실일 거다."""
2,리나,Character002,1,2,"""좋아,\n이건 너의 인생 최악의 순간이 될 거야."""
3,로즈,Character003,1,3,"""좋아, 단 10초 줄게.\n그 안에 도망쳐 봐."""
4,수진,Character004,1,4,"""넌 이미 졌다.\n내가 나타난 순간부터."""
5,춘희,Character005,1,1,"""딱 한 번 기회 줄게.\n돌아가라."""
6,체리,Character006,1,2,"""내 발걸음을 멈추게 한 죄,\n지금 갚아라."""
7,별이,Character007,1,3,"""여기까지 온 걸 칭찬은 해주마.\n하지만 거기까지야."""
8,영자,Character008,1,4,"""내게 상처라도 낼 수 있을 거라 생각했나?"""
9,메이,Character009,1,1,"""날 쓰러뜨리는 상상은…\n이제 멈춰라."""
10,리아,Character010,1,2,"""눈 감고 싸워도 이기겠다."""
11,복자,Character011,1,3,"""너랑 싸우는 건 내 시간 낭비다.\n짧게 끝내자."""
12,유나,Character012,1,4,"""눈빛은 제법이네.\n하지만 실력은 꽝이야."""
13,조이,Character013,1,1,"""진심으로 덤비는 거라면,\n안타깝군."""
14,엠마,Character014,1,2,"""이렇게 약한 애를 왜 날 붙인 거지?"""
15,혜수,Character015,1,3,"""벌써 떨고 있는 거냐?\n실망이군."""
16,수아,Character016,1,4,"""경고는 끝났다.\n이젠 직접 겪어라."""
17,꽃님,Character017,1,1,"""나와 마주친 걸 후회하게 해주지."""
18,진주,Character018,1,2,"""슬슬 지루해진다.\n어서 끝내자."""
19,노조미,Character019,1,3,"""나한테 흠집 하나 못 내고 쓰러지겠지."""
20,하루,Character020,1,4,"""상대가 안 돼.\n넌 너무, 너무 약해."""
21,엘리스,Character021,1,1,"""내 실력의 1%도 네겐 과하다."""
22,아이비,Character022,1,2,"""네 전력은 이미 계산 끝났어."""
23,안나,Character023,1,3,"""참,\n오늘은 좀 심심했는데 잘 됐군."""
24,클레오,Character024,1,4,"""날 이기면,\n네인생이 달라질 수도 있겠지."""
25,예린,Character025,1,1,"""비침하게 쓰러지는 네 모습이 벌써 보이는군."""
26,지아,Character026,1,2,"""감히 나를 방해하려는 거냐?"""
27,아야,Character027,1,3,"""너 같은건 눈빛 하나면 충분히 꺾는다."""
28,채원,Character028,1,4,"""실력 차이를 느끼게 해주지."""
29,이사벨,Character029,1,1,"""네가 내 앞에 설 자격이 있다고 생각했나?"""
30,나비,Character030,1,2,"""실망시키지 마라.\n나를 지루하게 하지 말라고."""
31,짱순,Character031,1,3,"""패배는 새로운 경험이겠지.\n즐겨봐."""
32,유미,Character032,1,4,"""너 같은 건 수백 명은 꺾어봤지."""
33,수정,Character033,1,1,"""웃기는 실력으로 날 넘겠다고?"""
34,단비,Character034,1,2,"""이 정도 수준이면,\n몸 안 풀고도 끝내겠다."""
35,공주,Character035,1,3,"""그래,\n죽는 순간까지 후회하게 만들어주마."""
36,토니,Character036,0,4,"""좋아,\n네가 얼마나 바보인지 직접 증명해 봐라."""
37,타케시,Character037,0,1,"""지금 돌아가면 창피는 덜하겠지."""
38,알렉스,Character038,0,2,"""너 같은 잡것이 감히 내 이름 옆에 서?"""
39,앤서니,Character039,0,3,"""숨만 쉬고 있는 게 기적인 수준이군."""
40,덕화,Character040,0,4,"""이건 전투가 아니다.\n처형이다."""
41,현우,Character041,0,1,"""나와 싸운다는 건,\n스스로 무덤을 판다는 뜻이지."""
42,크리스,Character042,0,2,"""기세 좋은 초짜네.\n금방 꺾인다."""
43,레이,Character043,0,3,"""내가 지면 하늘이 두 쪽 나겠군."""
44,스타,Character044,0,4,"""아, 이게 오늘의 도전자야?\n실망이로군."""
45,동석,Character045,0,1,"""이 싸움은 네게 교훈이 되겠지.\n단, 아주 고통스러운."""
46,철수,Character046,0,2,"""날 상대할 자는 이 세계에 없지."""
47,맥스,Character047,0,3,"""지금의 너는,\n내 그림자도 밟지 못해."""
48,중순,Character048,0,4,"""내 한 손이면 충분하다."""
49,이브,Character049,1,1,"""내 발 밑에 쓰러질 준비는 됐나?"""
50,소피아,Character050,1,2,"""그 표정 좋아.\n곧 더 일그러질 테니까."""
51,진우,Character051,0,4,"""이긴다면 꿈일 테고, 진다면 현실이겠지."""
52,카이,Character052,0,4,"""네가 오늘 배울 유일한 진실\n넌 아무것도 아니다."""
53,나오미,Character053,1,4,"""네 수준에서 날 만난 건 기적이야."""
54,아델,Character054,1,4,"""너 정도면 몸 풀기엔 괜찮겠네."""
55,미코,Character055,1,4,"""넌 여기까지 오는 것도 벅찼을 텐데?"""
56,아현,Character056,1,4,"""내 승리는 불변이야.\n이번에도 예외는 없어."""
57,바다,Character057,1,4,"""용기 낸 건 칭찬할게.\n결과는 변하지 않지만."""
58,유빈,Character058,1,4,"""한 수 가르쳐 줄게.\n영원히 기억될 수업이지."""
59,예솔,Character059,1,4,"""한심한 패배자가 또 한 명 추가되겠군."""
60,징징,Character060,1,4,"""내가 지금 웃고 있는 이유를 곧 알게 될 거야."""
