ID,EN,KO,JP,CH,CHT,FR,SP,IT,DE,PT,RU,ID,VI,TH,TR,
DailyPlay,One Step a Day,하루에 한걸음씩,一日一歩,每天一步,每天一步,Jour après jour,Un paso al día,Un passo al giorno,Schritt für Schritt jeden Tag,Um passo por dia,Шаг за шагом каждый день,Selangkah setiap hari,Mỗi ngày một bước,ก้าวหนึ่งต่อวัน,Her Gün Bir Adım,
DailyPlaySub,Clear today’s mission {0} times to claim rewards.,오늘의 미션 {0}회 클리어하고 보상받기。,今日のミッションを{0}回クリアして報酬を受け取る。,完成今日的任务{0}次以领取奖励。,完成今日任務{0}次以領取獎勵。,Terminez la mission du jour {0} fois pour obtenir vos récompenses.,Completa la misión de hoy {0} veces para recibir recompensas.,Completa la missione di oggi {0} volte per ottenere le ricompense.,"Schließe die heutige Mission {0}-mal ab, um Belohnungen zu erhalten.",Conclua a missão de hoje {0} vezes para receber recompensas.,"Выполните сегодняшнюю миссию {0} раз, чтобы получить награды.",Selesaikan misi hari ini {0} kali untuk mendapatkan hadiah.,Hoàn thành nhiệm vụ hôm nay {0} lần để nhận thưởng.,เคลียร์มิชชั่นวันนี้ {0} ครั้งเพื่อรับรางวัล。,Bugünün görevini {0} kez tamamlayarak ödülleri al.,
LevelTitle1,Beginner,입문자,初級者,初学者,初學者,Débutant,Principiante,Principiante,Anfänger,Iniciante,Новичок,Pemula,Người mới,ผู้เริ่มต้น,Başlangıç,
LevelTitle2,Intermediate,중급자,中級者,中级者,中級者,Intermédiaire,Intermedio,Intermedio,Fortgeschritten,Intermediário,Средний уровень,Menengah,Trung cấp,ระดับกลาง,Orta,
LevelTitle3,Advanced,고급자,上級者,高级者,高級者,Avancé,Avanzado,Avanzato,Fortgeschritten+,Avançado,Продвинутый,Lanjutan,Nâng cao,ระดับสูง,İleri,
LevelTitle4,Expert,전문가,エキスパート,专家,專家,Expert,Experto,Esperto,Experte,Especialista,Эксперт,Ahli,Chuyên gia,ผู้เชี่ยวชาญ,Uzman,
LevelTitle5,Master,마스터,マスター,大师,大師,Maître,Maestro,Maestro,Meister,Mestre,Мастер,Master,Bậc thầy,มาสเตอร์,Usta,
LevelSub,Reach level {0}.,레벨 {0} 달성하기.,レベル{0}に到達する。,达到{0}级。,達到{0}級。,Atteignez le niveau {0}.,Alcanza el nivel {0}.,Raggiungi il livello {0}.,Erreiche Level {0}.,Alcance o nível {0}.,Достигните уровня {0}.,Capai level {0}.,Đạt cấp {0}.,ถึงเลเวล {0},Seviye {0}’a ulaş.,
StarTitle,Red Star Collector,레드 별 수집가,レッドスター集め,红色星星收集者,紅色星星收集者,Collectionneur d’étoiles rouges,Coleccionista de estrellas rojas,Collezionista di stelle rosse,Roter Stern-Sammler,Colecionador de estrelas vermelhas,Собиратель красных звёзд,Pengumpul bintang merah,Người thu thập sao đỏ,ผู้สะสมดาวแดง,Kırmızı Yıldız Koleksiyoncusu,
StarSub,Collect {0} red stars.,레드 별 {0}개를 모아보세요.,レッドスターを{0}個集めよう。,收集{0}颗红色星星。,收集{0}顆紅色星星。,Collectez {0} étoiles rouges.,Reúne {0} estrellas rojas.,Raccogli {0} stelle rosse.,Sammle {0} rote Sterne.,Colete {0} estrelas vermelhas.,Соберите {0} красных звёзд.,Kumpulkan {0} bintang merah.,Thu thập {0} sao đỏ.,สะสมดาวแดง {0} ดวง,{0} kırmızı yıldız topla.,
TimeAttackTitle1,Time Attack Challenger,타임어택 도전자,タイムアタック挑戦者,时间挑战者,時間挑戰者,Défi Temps,Desafío de tiempo,Sfida a tempo,Zeitangriff Herausforderer,Desafio de tempo,Испытание временем,Penantang waktu,Thử thách thời gian,ผู้ท้าทายเวลา,Zaman Saldırısı Adayı,
TimeAttackTitle2,Time Attack Skilled,타임어택 실력자,タイムアタック熟練者,时间高手,時間高手,Expert du temps,Experto del tiempo,Esperto del tempo,Zeitangriff Könner,Especialista em tempo,Мастер времени,Ahli waktu,Lão luyện thời gian,ผู้เล่นเวลาชำนาญ,Zaman Ustası,
TimeAttackTitle3,Time Attack Adept,타임어택 숙련자,タイムアタック上級者,时间达人,時間達人,Maître du temps,Dominador del tiempo,Dominatore del tempo,Zeitangriff Profi,Especialista avançado,Профессионал времени,Ahli mahir,Người thành thạo,ผู้เชี่ยวชาญด้านเวลา,Zaman Ustalaşmış,
TimeAttackTitle4,Time Attack Expert,타임어택 전문가,タイムアタックエキスパート,时间专家,時間專家,Expert du contre-la-montre,Experto contrarreloj,Esperto cronometro,Zeitangriff Experte,Especialista contra tempo,Эксперт по времени,Ahli pakar waktu,Chuyên gia thời gian,ผู้เชี่ยวชาญโหมดเวลา,Zaman Uzmanı,
TimeAttackTitle5,Time Attack Master,타임어택 마스터,タイムアタックマスター,时间大师,時間大師,Maître du temps,Maestro del tiempo,Maestro del tempo,Zeitangriff Meister,Mestre do tempo,Мастер времени,Master waktu,Bậc thầy thời gian,มาสเตอร์เวลา,Zaman Ustası,
