ID,EN,KO,JP,CH,CHT,FR,SP,IT,DE,PT,RU,ID,VI,TH,TR
Game Start,Game Start,게임 시작,ゲームスタート,游戏开始,遊戲開始,Démarrer le jeu,Iniciar juego,Avvia gioco,Spiel starten,Iniciar,Старт,Mulai,Bắt đầu,เริ่มเกม,Başlat
START,START,시작,スタート,开始,開始,Démarrer,Iniciar,Avvia,Start,Iniciar,Старт,Mulai,Bắt đầu,เริ่ม,Başlat
Entering the Game,Entering the Game...,게임 진입중…,ゲーム読み込み中…,游戏加载中…,遊戲加載中…,Chargement du jeu…,Cargando el juego…,Caricamento in corso…,Spiel wird geladen…,Entrando no Jogo...,Вход в игру...,Memasuki Game...,Đang vào game...,กำลังเข้าสู่เกม...,Oyuna giriliyor...
SHOP,SHOP,상점,ショップ,商店,商店,Boutique,Tienda,Negozio,Laden,Loja,Магазин,Toko,Cửa hàng,ร้านค้า,Mağaza
ACHIEVEMENT,ACHIEVEMENT,업적,実績,成就,成就,Succès,Logros,Obiettivi,Erfolge,Conquistas,Достижения,Pencapaian,Thành tựu,ความสำเร็จ,Başarılar
LEADERBOARD,LEADERBOARD,랭킹,ランキング,排行榜,排行榜,Classement,Clasificación,Classifica,Rangliste,Ranking,Таблица лидеров,Papan Peringkat,Bảng xếp hạng,กระดานผู้นำ,Liderlik Tablosu
TIME ATTACK,TIME ATTACK,타임 어택,タイムアタック,计时挑战,計時挑戰,Défi chronométré,Ataque de tiempo,Sfida a tempo,Zeitangriff,Time Attack,Тайм-атак,Time Attack,Thử thách thời gian,ไทม์แอตแทค,Zaman Saldırısı
SURVIVAL MODE,SURVIVAL MODE,서바이벌 모드,サバイバルモード,生存模式,生存模式,Mode survie,Modo supervivencia,Modalità sopravvivenza,Überlebensmodus,Modo de Sobrevivência,Режим выживания,Mode Survival,Chế độ sinh tồn,โหมดเอาชีวิตรอด,Hayatta Kalma Modu
Unlock,Unlock,잠금해제,ロック解除,解锁,解鎖,Déverrouiller,Desbloquear,Sblocca,Freischalten,Desbloquear,Разблокировать,Buka Kunci,Mở khóa,ปลดล็อก,Kilidi Aç
Settings,Settings,옵션,オプション,选项,選項,Options,Opciones,Opzioni,Optionen,Configurações,Настройки,Pengaturan,Cài đặt,การตั้งค่า,Ayarlar
Current Virsion,Current Version,현재 버전,現在のバージョン,当前版本,當前版本,Version actuelle,Versión actual,Versione attuale,Aktuelle Version,Versão Atual,Текущая версия,Versi Saat Ini,Phiên bản hiện tại,เวอร์ชันปัจจุบัน,Mevcut Sürüm
Update,Update,업데이트,アップデート,更新,更新,Mettre à jour,Actualizar,Aggiorna,Aktualisieren,Atualizar,Обновить,Perbarui,Cập nhật,อัปเดต,Güncelle
Latest Version,Latest Version,최신 버전,最新バージョン,最新版本,最新版本,Dernière version,Última versión,Ultima versione,Neueste Version,Última Versão,Последняя версия,Versi Terbaru,Phiên bản mới nhất,เวอร์ชันล่าสุด,En Son Sürüm
Sound Fx,Sound Fx,효과음,効果音,音效,音效,Effets sonores,Efectos de sonido,Effetti sonori,Soundeffekte,Efeitos Sonoros,Звуки,Efek Suara,Hiệu ứng âm thanh,เอฟเฟกต์เสียง,Ses Efektleri
Music,Music,배경음,BGM,背景音乐,背景音樂,Musique de fond,Música de fondo,Musica di sottofondo,Hintergrundmusik,Música,Музыка,Musik,Nhạc,ดนตรี,Müzik
Account ID,Account ID,계정 ID,アカウントID,账号ID,帳號ID,Identifiant du compte,ID de cuenta,ID account,Konto-ID,ID da Conta,ID Аккаунта,ID Akun,ID Tài khoản,บัญชี ID,Hesap ID
Link Account,Link Account,계정 연동,アカウント連携,账号关联,帳號關聯,Lier le compte,Vincular cuenta,Collega account,Konto verknüpfen,Vincular Conta,Привязать аккаунт,Tautkan Akun,Liên kết tài khoản,เชื่อมบัญชี,Hesabı Bağla
Unlink Account,Unlink Account,로그 아웃,ログアウト,登出,登出,Se déconnecter,Cerrar sesión,Disconnetti,Abmelden,Desvincular Conta,Отвязать аккаунт,Lepas Tautan,Hủy liên kết,ยกเลิกการเชื่อมบัญชี,Hesap Bağlantısını Kes
Send Invite,Send Invite,초대하기,招待する,邀请,邀請,Inviter,Invitar,Invita,Einladen,Enviar Convite,Отправить приглашение,Kirim Undangan,Gửi lời mời,ส่งคำเชิญ,Davet Gönder
Rate Us,Rate Us,응원하기,応援する,支持,支援,Soutenir,Apoyar,Sostieni,Unterstützen,Avalie-nos,Оценить нас,Nilai Kami,Đánh giá,ให้คะแนนเรา,Bize Puan Ver
STAGE CLEAR,STAGE CLEAR!,스테이지 완료,ステージクリア,关卡完成,關卡完成,Niveau terminé,Nivel completado,Livello completato,Stufe abgeschlossen,FASE CONCLUÍDA!,Уровень пройден!,Stage Selesai!,Hoàn thành màn!,ด่านเคลียร์!,Bölüm Tamamlandı!
Rewards,REWARDS,보상,報酬,奖励,獎勵,Récompense,Recompensa,Ricompensa,Belohnung,Recompensas,Награды,Hadiah,Phần thưởng,รางวัล,Ödüller
Claim,Claim X2,보상 X2,報酬2倍,奖励x2,獎勵x2,Récompense x2,Recompensa x2,Ricompensa x2,Belohnung x2,Receber X2,Получить X2,Klaim X2,Nhận X2,รับ X2,X2 Al
